,County_x,State short,num_players,county_state,County ID,County Fips,County_y,Median Household Income,Population,year,state,income,y_pred,residual
0,ADAMS,CO,1,"ADAMS, CO",8,8001,ADAMS,"$65,442",498187,2016,CO,65442.0,1.696507013985738,-0.6965070139857381
1,ALAMEDA,CA,1,"ALAMEDA, CA",6,6001,ALAMEDA,"$89,472",1647704,2016,CA,89472.0,4.207312844913899,-3.207312844913899
2,ALLEGHENY,PA,1,"ALLEGHENY, PA",42,42003,ALLEGHENY,"$56,099",1225365,2016,PA,56099.0,3.0134820078677484,-2.0134820078677484
3,ALLEN,IN,1,"ALLEN, IN",18,18003,ALLEN,"$51,329",370404,2016,IN,51329.0,1.2909065114053013,-0.2909065114053013
4,ARAPAHOE,CO,2,"ARAPAHOE, CO",8,8005,ARAPAHOE,"$70,866",637068,2016,CO,70866.0,2.0277227792735735,-0.027722779273573472
5,ARLINGTON,VA,1,"ARLINGTON, VA",51,51013,ARLINGTON,"$108,635",230050,2016,VA,108635.0,1.65031968783906,-0.65031968783906
6,BEAUFORT,SC,1,"BEAUFORT, SC",45,45013,BEAUFORT,"$65,354",183149,2016,SC,65354.0,1.0802272073544696,-0.08022720735446964
7,BERGEN,NJ,2,"BERGEN, NJ",34,34003,BERGEN,"$93,205",939151,2016,NJ,93205.0,2.8646938541381664,-0.8646938541381664
8,BEXAR,TX,2,"BEXAR, TX",48,48029,BEXAR,"$53,170",1928680,2016,TX,53170.0,4.354759107414933,-2.3547591074149334
9,BOULDER,CO,1,"BOULDER, CO",8,8013,BOULDER,"$74,772",322226,2016,CO,74772.0,1.4559810927789445,-0.4559810927789445
10,BREVARD,FL,1,"BREVARD, FL",12,12009,BREVARD,"$51,214",579130,2016,FL,51214.0,1.697302006016701,-0.697302006016701
11,BRONX,NY,1,"BRONX, NY",36,36005,BRONX,"$37,355",1455720,2016,NY,37355.0,3.256170290748007,-2.256170290748007
12,BROWARD,FL,5,"BROWARD, FL",12,12011,BROWARD,"$54,055",1909632,2016,FL,54055.0,4.327340121078373,0.6726598789216274
13,BURLINGTON,NJ,1,"BURLINGTON, NJ",34,34005,BURLINGTON,"$80,081",449284,2016,NJ,80081.0,1.7628337514280012,-0.7628337514280012
14,CAMDEN,NJ,1,"CAMDEN, NJ",34,34007,CAMDEN,"$65,838",510150,2016,NJ,65838.0,1.7242501276749964,-0.7242501276749964
15,CAMERON,TX,1,"CAMERON, TX",48,48061,CAMERON,"$36,587",422135,2016,TX,36587.0,1.2289644892736091,-0.22896448927360913
16,CHARLES,MD,1,"CHARLES, MD",24,24017,CHARLES,"$93,947",157705,2016,MD,93947.0,1.346639375414242,-0.34663937541424206
17,CHATHAM,GA,1,"CHATHAM, GA",13,13051,CHATHAM,"$52,746",289082,2016,GA,52746.0,1.1477404258611805,-0.14774042586118052
18,CHESTERFIELD,VA,2,"CHESTERFIELD, VA",51,51041,CHESTERFIELD,"$76,260",339009,2016,VA,76260.0,1.5052107515506492,0.4947892484493508
19,CLACKAMAS,OR,2,"CLACKAMAS, OR",41,41005,CLACKAMAS,"$74,460",408062,2016,OR,74460.0,1.6201797891047025,0.3798202108952975
20,COBB,GA,2,"COBB, GA",13,13067,COBB,"$70,950",748150,2016,GA,70950.0,2.245607878536812,-0.24560787853681187
21,COLLIN,TX,1,"COLLIN, TX",48,48085,COLLIN,"$90,382",939585,2016,TX,90382.0,2.8343320848671985,-1.8343320848671985
22,CONTRA COSTA,CA,1,"CONTRA COSTA, CA",6,6013,CONTRA COSTA,"$90,920",1135127,2016,CA,90920.0,3.2221968319976924,-2.2221968319976924
23,COOK,IL,8,"COOK, IL",17,17031,COOK,"$60,025",5203499,2016,IL,60025.0,10.826657515077187,-2.826657515077187
