,city,club,date,level,name,position,state
0,Faribault,Shattuck-Saint Mary's,2017/08/04,U-15,JT Harms,Goalkeeper,Minnesota
1,Norridge,Chicago Fire,2017/08/04,U-15,Damian Las,Goalkeeper,Illinois
2,Chicago,FC United Soccer Club,2017/08/04,U-15,Axel Alejandre,Defender,Illinois
3,Douglasville,Atlanta United,2017/08/04,U-15,George Bello,Defender,Georgia
4,Springfield,Sporting Kansas City,2017/08/04,U-15,Mitch Eise,Defender,Missouri
5,Tampa,Chargers Soccer Club,2017/08/04,U-15,Mason Judge,Defender,Florida
6,Irvine,Pateadores,2017/08/04,U-15,Kenny Nielsen,Defender,California
7,Lake Grove,New York City FC,2017/08/04,U-15,Joseph Scally,Defender,New York
8,Seattle,Seattle Sounders,2017/08/04,U-15,Josh Atencio,Midfielder,Washington
9,Tracy,San Jose Earthquakes,2017/08/04,U-15,Gilbert Fuentes,Midfielder,California
10,Dallas,FC Dallas,2017/08/04,U-15,Cesar Garcia,Midfielder,Texas
11,Panorama City,Real So Cal,2017/08/04,U-15,Adam Saldana,Midfielder,California
12,Chester,New York Red Bulls,2017/08/04,U-15,Peter Stroud,Midfielder,New Jersey
13,Greensboro,Sporting Kansas City,2017/08/04,U-15,Gianluca Busio,Forward,North Carolina
14,Austin,Lonestar Soccer Club,2017/08/04,U-15,Julian Gaines,Forward,Texas
15,Duluth,Atlanta United,2017/08/04,U-15,Daniel Mangarov,Forward,Georgia
16,Fresno,Seattle Sounders,2017/08/04,U-15,Alfonso Ocampo Chavez,Forward,California
17,Bedford,New York City FC,2017/08/04,U-15,Giovanni Reyna,Forward,New York
18,Indian Head,D.C. United,2018/05/04,U-15,Mikah Seger,Goalkeeper,Maryland
19,Addison,Chicago Fire,2018/05/04,U-15,Gabriel Slonina,Goalkeeper,Illinois
20,Pembroke Pines,Weston FC,2018/05/04,U-15,Noah Allen,Defender,Florida
21,Philadelphia,Philadelphia Union,2018/05/04,U-15,Brandon Craig,Defender,Pennsylvania
22,Long Beach,Los Angeles Football Club,2018/05/04,U-15,Antonio Leone,Defender,California
23,Glen Ellyn,Sockers FC,2018/05/04,U-15,Ryan Quintos,Defender,Illinois
24,Chicago,Chicago Fire,2018/05/04,U-15,Justin Reynolds,Defender,Illinois
25,Akron,Internationals,2018/05/04,U-15,Levi Stephens,Defender,Ohio
26,Barcelona,UE Cornella/ESP,2018/05/04,U-15,Devan Tanton,Defender,Spain
27,Tukwila,Seattle Sounders FC,2018/05/04,U-15,Juan Alvarez,Midfielder,Washington
28,Eden,La Roca,2018/05/04,U-15,Zach Booth,Midfielder,Utah
29,Little Elm,FC Dallas,2018/05/04,U-15,Cesar Elizalde,Midfielder,Texas
30,Lincroft,Players Development Academy,2018/05/04,U-15,Kenan Hot,Midfielder,New Jersey
31,Apex,North Carolina FC Youth,2018/05/04,U-15,Brendan Lambe,Midfielder,North Carolina
32,Stillwater,Oklahoma City Energy FC,2018/05/04,U-15,Rokas Pukstas,Midfielder,Oklahoma
33,Elkhart,Indiana Fire Academy,2018/05/04,U-15,Allan Rodriguez,Midfielder,Indiana
34,La Mesa,San Diego Surf,2018/05/04,U-15,Evan Rotundo,Midfielder,California
35,Seattle,Seattle Sounders FC,2018/05/04,U-15,Austin Brummett,Forward,Washington
36,Rancho Cordova,Sacramento Republic FC,2018/05/04,U-15,Rafael Jauregui,Forward,California
37,Redmond,Crossfire Premier,2018/05/04,U-15,Korede Osundina,Forward,Washington
38,San Jose,De Anza Force,2018/01/12,U-15,Damian Alguera,Goalkeeper,California
39,Frisco,FC Dallas,2018/01/12,U-15,Antonio Carrera,Goalkeeper,Texas
40,St. Paul,Minnesota United FC,2018/01/12,U-15,Fred Emmings,Goalkeeper,Minnesota
41,Addison,Chicago Fire,2018/01/12,U-15,Gabriel Slonina,Goalkeeper,Illinois
42,Atlanta,Atlanta United FC,2018/01/12,U-15, Bryan Casanova,Defender,Georgia
43,Ridgewood,New York Red Bulls,2018/01/12,U-15,John Carlos Cortez,Defender,New Jersey
44,Philadelphia,Philadelphia Union,2018/01/12,U-15,Brandan Craig,Defender,Pennsylvania
45,South Gate,LA Galaxy,2018/01/12,U-15,Jason Cruz,Defender,California
46,Dix Hills,New York City FC,2018/01/12,U-15,Cooper Flax,Defender,New York
47,Torrance,Los Angeles Football Club,2018/01/12,U-15,Robert Kaemmerer,Defender,California
48,New York,New York City FC,2018/01/12,U-15,Justin Kern,Defender,New York
49,Ambler,Philadelphia Union,2018/01/12,U-15,Ryan Lau,Defender,Pennsylvania
50,Long Beach,Los Angeles Football Club,2018/01/12,U-15,Antonio Leone,Defender,California
